958;673,400,40,53,662,472,42,40,;0.981850802898407,0.8264244794845581,;0,0,
959;672,398,39,51,658,469,46,43,;0.995073139667511,0.9509353637695312,;0,0,
960;668,398,44,49,655,469,47,45,;0.9985271692276001,0.9509758353233337,;0,0,
961;667,394,43,51,659,467,42,46,;0.9986371397972107,0.990938127040863,;0,0,
962;666,393,43,49,658,465,41,46,;0.9992459416389465,0.9956243634223938,;0,0,
963;666,392,41,50,658,462,40,51,;0.9975438714027405,0.9940813779830933,;0,0,
964;666,388,43,49,659,460,40,54,;0.9948137402534485,0.9743161201477051,;0,0,
965;665,384,43,53,660,456,40,55,;0.9945833086967468,0.9806283712387085,;0,0,
966;664,382,43,53,658,455,42,58,;0.9851417541503906,0.9153246283531189,;0,0,
967;662,381,44,52,654,450,45,65,;0.9843884110450745,0.9771671295166016,;0,0,
968;659,378,43,52,653,449,46,62,;0.9953785538673401,0.9757964611053467,;0,0,
969;658,374,42,55,650,447,45,57,;0.9978258013725281,0.9978324174880981,;0,0,
970;656,370,41,56,651,446,44,55,;0.9683781862258911,0.9980281591415405,;0,0,
971;655,367,41,57,650,445,46,51,;0.9850078225135803,0.9987360835075378,;0,0,
972;653,366,44,58,648,445,46,52,;0.991791844367981,0.9991111755371094,;0,0,
973;651,361,43,57,645,442,46,55,;0.9904842376708984,0.9981514811515808,;0,0,
974;651,360,41,56,645,440,44,56,;0.9553741812705994,0.9886571764945984,;0,0,
975;650,357,42,56,644,438,44,57,;0.9540339112281799,0.9531660676002502,;0,0,
976;648,355,41,55,644,435,44,60,;0.9176714420318604,0.9496504664421082,;0,0,
977;643,351,46,59,641,434,47,59,;0.9399527907371521,0.9309645295143127,;0,0,
978;640,345,47,66,637,426,49,67,;0.9631005525588989,0.8606683611869812,;0,0,
979;640,344,46,53,629,419,55,71,;0.9681800007820129,0.9526903629302979,;0,0,
980;640,340,44,62,628,418,53,73,;0.7852811813354492,0.9365227222442627,;0,0,
981;641,331,42,69,629,417,50,71,;0.9168033003807068,0.8747934103012085,;0,0,
982;638,326,43,73,628,417,50,71,;0.9818850159645081,0.9427447319030762,;0,0,
983;635,326,47,67,624,415,51,69,;0.9905889630317688,0.9675209522247314,;0,0,
984;631,322,50,67,624,413,49,70,;0.9976009726524353,0.9481101632118225,;0,0,
985;629,321,51,66,622,410,48,69,;0.995579719543457,0.9612768292427063,;0,0,
986;628,313,50,70,620,407,49,70,;0.994654655456543,0.9501575231552124,;0,0,
987;624,307,51,71,621,399,48,72,;0.9958983659744263,0.9487455487251282,;0,0,
988;620,305,53,69,618,399,51,72,;0.9965226054191589,0.9914897084236145,;0,0,
989;618,298,54,75,616,399,48,67,;0.9919659495353699,0.9968889951705933,;0,0,
990;616,298,52,70,615,396,46,68,;0.9966384768486023,0.9960108399391174,;0,0,
991;612,288,54,75,610,393,50,72,;0.9904956221580505,0.9984900951385498,;0,0,
992;612,283,52,77,608,389,50,73,;0.9919653534889221,0.9997405409812927,;0,0,
993;607,278,55,77,604,383,52,76,635,478,41,32,;0.995079517364502,0.999848484992981,0.9987289309501648,;0,0,1,
994;604,274,56,80,600,379,55,78,634,475,42,30,;0.9987925291061401,0.9997536540031433,0.9990814924240112,;0,0,1,
995;600,269,60,77,597,375,56,78,638,473,36,31,;0.9979709982872009,0.9925347566604614,0.996910810470581,;0,0,1,
996;596,258,64,87,594,371,59,82,636,471,35,35,;0.9981998205184937,0.9972897171974182,0.9984521865844727,;0,0,1,
997;596,253,56,87,590,364,58,87,632,470,35,32,;0.970009446144104,0.9970133304595947,0.9789491295814514,;0,0,1,
998;592,249,57,87,589,362,57,83,632,467,32,33,;0.9725845456123352,0.998427152633667,0.9980579614639282,;0,0,1,
999;593,242,56,97,587,357,53,86,632,466,28,29,;0.982632040977478,0.9938446283340454,0.992864727973938,;0,0,1,
1000;588,236,58,87,582,353,61,87,619,461,37,28,;0.9099175930023193,0.998863697052002,0.9987495541572571,;0,0,1,
1001;584,231,61,87,579,347,55,91,618,459,37,27,;0.993505597114563,0.9996836185455322,0.998746395111084,;0,0,1,
1002;578,227,65,88,572,345,59,90,622,457,36,28,;0.9982954263687134,0.9999474287033081,0.99930340051651,;0,0,1,
1003;576,216,63,92,569,338,58,96,616,454,36,29,;0.9945493340492249,0.9999202489852905,0.9992133378982544,;0,0,1,
1004;569,209,67,94,565,329,58,99,612,449,35,32,;0.9979197382926941,0.9999756813049316,0.999591588973999,;0,0,1,
1005;562,202,67,96,561,323,61,103,612,447,34,31,;0.9947130084037781,0.99978107213974,0.998869001865387,;0,0,1,
1006;561,190,68,103,556,322,69,97,609,446,37,28,;0.9973490238189697,0.9997385144233704,0.9989967346191406,;0,0,1,
