661:distance error all: 0.00997300000000001;distance error:0.0
666:distance error all: 0.004989000000000132;distance error:0.0009989999999999721
669:distance error all: 0.002995000000000081;distance error:0.001000000000000112
674:distance error all: 0.014951999999999854;distance error:0.009969999999999812
679:distance error all: 0.0009959999999999969;distance error:0.0
684:distance error all: 0.009973999999999927;distance error:0.0
689:distance error all: 0.007975999999999983;distance error:0.002995000000000081
692:distance error all: 0.0029930000000000234;distance error:0.001000000000000112
697:distance error all: 0.0029919999999998836;distance error:0.0009939999999999394
702:distance error all: 0.011965000000000003;distance error:0.0009939999999999394
707:distance error all: 0.010969999999999924;distance error:0.0009959999999999969
712:distance error all: 0.021938000000000013;distance error:0.010967999999999867
715:distance error all: 0.015927999999999942;distance error:0.011973000000000011
720:distance error all: 0.0019940000000000513;distance error:0.0009950000000000792
725:distance error all: 0.010971000000000064;distance error:0.0009969999999999146
730:distance error all: 0.0029970000000001384;distance error:0.0010030000000000872
735:distance error all: 0.010971999999999982;distance error:0.0019930000000001336
738:distance error all: 0.019947999999999855;distance error:0.007981000000000016
743:distance error all: 0.00997300000000001;distance error:0.0009940000000001614
748:distance error all: 0.00897699999999979;distance error:0.0009959999999997748
753:distance error all: 0.002990000000000048;distance error:0.0009950000000000792
758:distance error all: 0.012969000000000008;distance error:0.001995000000000413
761:distance error all: 0.0019940000000002733;distance error:0.0
766:distance error all: 0.003994000000000053;distance error:0.0010020000000001694
771:distance error all: 0.009975999999999985;distance error:0.000996000000000219
776:distance error all: 0.002990000000000048;distance error:0.0009969999999999146
781:distance error all: 0.010969999999999924;distance error:0.00897799999999993
784:distance error all: 0.002989999999999604;distance error:0.00099899999999975
789:distance error all: 0.009972000000000314;distance error:0.0069790000000002905
794:distance error all: 0.01097099999999962;distance error:0.0009959999999997748
799:distance error all: 0.015957999999999917;distance error:0.001991000000000298
804:distance error all: 0.01197299999999979;distance error:0.0020009999999999195
807:distance error all: 0.0029919999999998836;distance error:0.0009980000000000544
812:distance error all: 0.018947999999999965;distance error:0.0009980000000000544
817:distance error all: 0.013965999999999923;distance error:0.01097400000000004
822:distance error all: 0.016954000000000136;distance error:0.0009980000000000544
827:distance error all: 0.008973999999999815;distance error:0.0
830:distance error all: 0.00997300000000001;distance error:0.0009969999999999146
835:distance error all: 0.0029930000000000234;distance error:0.0009980000000000544
840:distance error all: 0.011965000000000003;distance error:0.000996000000000219
845:distance error all: 0.0069750000000001755;distance error:0.0
850:distance error all: 0.00997400000000015;distance error:0.0009970000000003587
