3515:jump=0all: 0.012960999999999778;jump=0:0.010968999999999340.011965000000000003
3515:jump=0all: 0.0009940000000003835;jump=0:0.00.0009940000000003835
3516:jump=0all: 0.0109729999999999;jump=0:0.008977999999999930.00897799999999993
3517:jump=0all: 0.010960999999999999;jump=0:0.008973000000000120.009968999999999895
3518:jump=0all: 0.0009990000000001942;jump=0:0.00099699999999991460.001996000000000109
3519:jump=0all: 0.0009990000000001942;jump=0:0.00.0009990000000001942
3519:jump=0all: 0.0009969999999999146;jump=0:0.00099699999999991460.0009969999999999146
3520:jump=0all: 0.0009969999999999146;jump=0:0.00.0009969999999999146
3521:jump=0all: 0.0029930000000000234;jump=0:0.00099699999999991460.0009969999999999146
3522:jump=0all: 0.0029930000000000234;jump=0:0.00099599999999977480.001996000000000109
3523:jump=0all: 0.012960999999999778;jump=0:0.00099800000000005440.01096999999999948
3523:jump=0all: 0.0019940000000007174;jump=0:0.00.0009969999999999146
3524:jump=0all: 0.0029930000000000234;jump=0:0.00099699999999991460.0019919999999995497
3525:jump=0all: 0.01096899999999934;jump=0:0.008979000000000070.009978000000000264
3526:jump=0all: 0.001994999999999969;jump=0:0.00099800000000005440.001994999999999969
3527:jump=0all: 0.008973999999999371;jump=0:0.00099999999999944580.007979999999999876
3527:jump=0all: 0.0019970000000002486;jump=0:0.00.0
3528:jump=0all: 0.0029919999999998836;jump=0:0.00099699999999991460.001991000000000298
3529:jump=0all: 0.011965000000000003;jump=0:0.00199300000000057760.002991000000000632
3530:jump=0all: 0.012963000000000058;jump=0:0.00198900000000001850.012963000000000058
3531:jump=0all: 0.004990000000000272;jump=0:0.00299300000000002340.003991000000000078
3531:jump=0all: 0.0009980000000000544;jump=0:0.00.0009969999999999146
3532:jump=0all: 0.01097199999999976;jump=0:0.00099800000000005440.009970000000000034
3533:jump=0all: 0.0109729999999999;jump=0:0.00099500000000052320.008977000000000679
3534:jump=0all: 0.001992000000000438;jump=0:0.00099500000000052320.001992000000000438
3535:jump=0all: 0.009972999999999566;jump=0:0.0079769999999994570.00897199999999998
3535:jump=0all: 0.00199899999999964;jump=0:0.00.0010009999999995856
3536:jump=0all: 0.003988000000000547;jump=0:0.0009960000000006630.0019900000000001583
3537:jump=0all: 0.001994999999999969;jump=0:0.00.0009980000000000544
3538:jump=0all: 0.012966999999999729;jump=0:0.0099739999999997050.01097099999999962
3539:jump=0all: 0.012965999999999589;jump=0:0.00099599999999977480.011966999999999395
3539:jump=0all: 0.0009980000000000544;jump=0:0.00.0
3540:jump=0all: 0.008976000000000539;jump=0:0.0079820000000001560.00897699999999979
3541:jump=0all: 0.001996000000000109;jump=0:0.00099800000000005440.001996000000000109
3542:jump=0all: 0.00897400000000026;jump=0:0.00099599999999977480.007975000000000065
3543:jump=0all: 0.012967000000000617;jump=0:0.0019910000000002980.010971000000000508
3543:jump=0all: 0.0009959999999997748;jump=0:0.00099599999999977480.0009959999999997748
3544:jump=0all: 0.0019939999999998292;jump=0:0.00099599999999977480.0019939999999998292
3545:jump=0all: 0.003991000000000078;jump=0:0.00099699999999991460.002990999999999744
3546:jump=0all: 0.0009980000000000544;jump=0:0.00.0009980000000000544
3547:jump=0all: 0.011967999999999535;jump=0:0.0099719999999994260.010966999999999949
3547:jump=0all: 0.0009969999999999146;jump=0:0.00.0
3548:jump=0all: 0.00897199999999998;jump=0:0.006980000000000430.007975000000000065
3549:jump=0all: 0.01595100000000027;jump=0:0.0069749999999997310.0089750000000004
3550:jump=0all: 0.002994000000000163;jump=0:0.00099800000000005440.0019970000000002486
3551:jump=0all: 0.0039879999999996585;jump=0:0.00199299999999968950.002990999999999744
3551:jump=0all: 0.001996000000000109;jump=0:0.00.0009959999999997748
3552:jump=0all: 0.013958999999999833;jump=0:0.00099400000000038350.0019970000000002486
3553:jump=0all: 0.001992000000000438;jump=0:0.00099699999999991460.0009969999999999146
3554:jump=0all: 0.001996000000000109;jump=0:0.00.0009980000000000544
3554:jump=0all: 0.0009980000000000544;jump=0:0.00.0
3555:jump=0all: 0.0009969999999999146;jump=0:0.00.0009969999999999146
3556:jump=0all: 0.009973999999999705;jump=0:0.00099699999999991460.007977999999999597
3557:jump=0all: 0.0009980000000000544;jump=0:0.00.0009980000000000544
3558:jump=0all: 0.0009980000000000544;jump=0:0.00099800000000005440.0009980000000000544
3558:jump=0all: 0.0009969999999999146;jump=0:0.00.0
3559:jump=0all: 0.001999000000000528;jump=0:0.00100100000000047370.001999000000000528
3560:jump=0all: 0.0029930000000000234;jump=0:0.00099800000000005440.001994999999999969
3561:jump=0all: 0.000994999999999635;jump=0:0.00.000994999999999635
3562:jump=0all: 0.0049879999999999924;jump=0:0.0019960000000001090.003997000000000028
