73721;881,603,20,22,
73722;881,603,20,22,
73723;879,603,21,22,
73724;878,603,21,21,
73725;878,603,21,22,
73726;879,603,21,21,
73727;879,603,21,22,
73728;880,604,20,21,
73729;877,603,21,22,
73730;878,603,21,22,
73731;878,603,21,22,
73732;877,604,21,21,
73733;878,605,20,20,
73734;878,604,20,21,
73735;876,604,21,22,
73736;876,604,21,22,
73737;877,603,21,22,
73738;877,603,21,22,
73739;877,604,20,22,
73740;877,604,19,21,
73741;877,604,20,21,
73742;877,604,20,21,
73743;877,603,20,21,
73744;877,603,19,21,
73745;877,603,19,21,
73746;877,604,19,21,
73747;877,605,19,21,
73748;877,605,20,22,
73749;877,603,20,23,
73750;877,604,20,23,
73751;877,605,20,22,
73752;877,603,19,23,
73753;876,603,19,23,
73754;878,604,18,23,
73755;877,605,19,22,
73756;877,604,19,23,
73757;877,603,18,23,
73758;876,603,19,23,
73759;874,601,19,24,
73760;874,601,19,24,
73761;873,599,21,27,
73762;873,599,21,26,
73763;874,600,19,24,
73764;873,601,19,24,
73765;873,602,19,24,
73766;874,601,20,26,
73767;872,602,21,25,
73768;873,603,20,24,
73769;872,602,21,24,
73770;871,602,21,23,
73771;872,602,21,25,
73772;872,602,22,25,
73773;873,602,21,24,
73774;873,602,20,23,
73775;873,603,20,24,
73776;873,601,20,23,
73777;872,601,21,24,
73778;872,602,21,24,
73779;872,602,20,24,
73780;871,602,21,24,
73781;871,602,21,24,
73782;871,602,21,23,
73783;870,602,21,23,
73784;870,602,21,23,
73785;872,603,20,22,
73786;871,602,20,23,
73787;870,603,20,22,
73788;870,603,20,22,
73789;871,602,20,23,
73790;871,602,20,23,
73791;869,603,20,22,
73792;869,603,20,22,
73793;868,603,20,21,
73794;867,603,19,22,
73795;867,602,20,22,
73796;866,602,19,23,
73797;866,601,20,23,
73798;866,602,19,22,
73799;867,602,19,21,
73800;866,602,20,21,
73801;865,602,19,21,
73802;865,601,19,21,
73803;863,602,20,21,
73804;863,601,20,22,
73805;864,601,20,22,
73806;865,601,20,21,
73807;865,600,19,22,
73808;865,600,19,22,
73809;865,600,20,22,
73810;865,599,20,23,
73811;866,600,19,22,
73812;865,600,19,22,
73813;865,600,19,22,
73814;866,600,20,21,
73815;865,600,19,22,
73816;865,600,20,22,
73817;864,600,20,22,
73818;864,599,20,23,
73819;864,600,21,22,
73820;864,599,20,23,
73821;864,600,20,22,
73822;864,599,20,23,
73823;864,599,20,22,
73824;863,598,20,23,
73825;864,598,20,23,
73826;863,598,20,23,
73827;862,598,21,24,
73828;861,598,21,24,
73829;863,597,20,23,
73830;862,598,20,23,
73831;862,597,20,23,
73832;862,597,20,24,
73833;861,597,20,24,
73834;861,597,20,24,
73835;861,597,20,24,
73836;861,597,20,24,
73837;861,596,20,24,
73838;861,595,20,25,
73839;861,596,20,24,
73840;860,595,20,25,
73841;859,595,20,25,
73842;859,595,20,25,
73843;856,594,21,25,
73844;857,594,21,25,
73845;856,594,21,25,
73846;857,594,20,26,
73847;857,593,20,27,
73848;856,594,21,26,
73849;856,594,21,26,
73850;857,594,20,26,
73851;856,592,20,27,
73852;855,592,20,27,
73853;856,592,20,26,
73854;855,591,20,27,
73855;855,591,21,26,
73856;855,591,21,25,
73857;854,592,21,25,
73858;853,592,21,26,
73859;853,592,22,26,
73860;852,592,22,26,
73861;852,590,22,27,
73862;853,590,22,27,
73863;852,590,22,27,
73864;851,589,23,27,
73865;850,589,23,27,
73866;850,589,23,27,
73867;851,590,22,26,
73868;852,590,22,26,
73869;851,589,22,27,
73870;849,589,23,27,
73871;849,589,23,27,
73872;848,589,23,27,
73873;849,587,22,27,
73874;848,587,23,28,
73875;848,587,23,28,
73876;848,586,23,28,
73877;848,586,22,28,
73878;847,586,22,28,
73879;847,585,22,28,
73880;847,585,22,28,
73881;847,585,22,28,
73882;847,584,22,29,
73883;847,583,22,29,
73884;847,583,22,29,
73885;846,583,22,29,
73886;845,583,23,29,
73887;844,583,23,29,
73888;843,583,23,29,
73889;843,582,23,29,
73890;843,581,24,29,
73891;843,581,24,29,
73892;843,581,23,30,
73893;842,581,24,29,
73894;843,581,24,29,
73895;842,580,24,29,
73896;842,580,24,29,
73897;842,580,24,30,
73898;840,579,25,30,
73899;839,579,25,30,
73900;839,579,25,30,
73901;839,578,25,30,
73902;838,578,25,30,
73903;838,578,25,30,
73904;838,577,26,30,
73905;837,577,26,30,
73906;837,576,26,31,
73907;837,577,26,30,
73908;837,577,26,30,
73909;835,575,27,31,
73910;834,575,26,32,
73911;834,575,25,32,
73912;833,573,26,33,
73913;833,574,26,33,
73914;832,573,27,34,
73915;832,573,27,33,
73916;833,572,28,34,
73917;832,572,28,33,
73918;832,572,27,33,
73919;831,571,27,33,
73920;829,571,27,33,
73921;828,570,27,33,
73922;827,570,28,33,
73923;827,570,28,33,
73924;827,569,27,34,
73925;826,569,28,34,
73926;826,568,28,33,
73927;826,569,28,33,
73928;824,569,29,34,
73929;824,568,29,34,
73930;824,567,30,34,
73931;824,566,30,35,
73932;824,565,30,35,
73933;824,565,30,35,
73934;823,565,30,35,
73935;820,566,31,34,
73936;819,564,30,36,
73937;818,564,31,36,
73938;819,562,30,36,
73939;818,561,31,37,
73940;819,562,30,36,
73941;818,561,29,35,
73942;816,561,31,36,
73943;817,561,30,36,
73944;816,560,31,36,
73945;815,559,32,37,
73946;813,558,34,38,
73947;813,558,33,38,
73948;814,558,31,38,
73949;814,558,32,38,
73950;812,557,34,39,
73951;809,556,34,39,
73952;809,555,34,39,
73953;809,554,34,40,
73954;806,553,35,40,
73955;807,551,35,41,
73956;806,551,36,41,
73957;806,551,36,41,
73958;804,550,35,42,
73959;804,549,35,42,
73960;803,548,36,42,
73961;804,547,34,43,
73962;804,548,33,42,
73963;801,548,35,42,
73964;801,547,35,42,
73965;801,547,36,42,
73966;801,545,35,43,
73967;801,543,33,45,
73968;799,542,35,45,
73969;798,542,35,45,
73970;796,540,35,45,
73971;797,539,34,46,
73972;795,539,35,45,
73973;795,537,35,47,
73974;793,538,36,46,
73975;792,537,35,48,
73976;792,536,36,46,
73977;793,536,34,46,
73978;793,535,34,46,
73979;789,534,36,47,
73980;787,533,35,47,
73981;786,531,35,47,
73982;786,531,36,47,
73983;785,530,36,47,
73984;783,530,38,48,
73985;781,528,39,48,
73986;782,529,38,46,
73987;779,527,39,47,
73988;778,528,39,47,
73989;776,527,41,47,
73990;776,526,42,48,
73991;774,524,43,47,
73992;772,523,41,49,
73993;772,522,42,49,
73994;772,521,42,48,
73995;770,520,44,49,
73996;768,519,43,50,
73997;766,517,43,52,
73998;766,515,44,53,
73999;765,515,44,52,
74000;764,515,44,52,
74001;763,512,43,52,
74002;761,511,45,53,
74003;759,510,45,54,
74004;758,509,45,54,
74005;756,507,45,55,
74006;754,506,45,56,
74007;753,504,45,57,
74008;753,502,46,57,
74009;751,503,46,56,
74010;750,502,45,56,
74011;749,499,46,57,
74012;748,498,48,57,
74013;747,496,46,58,
74014;744,492,47,60,
74015;741,492,49,60,
74016;738,490,49,62,
74017;736,488,49,63,
74018;735,486,50,62,
74019;735,486,50,62,
74020;733,483,50,62,
74021;729,482,53,62,
74022;729,481,52,62,
74023;724,477,53,66,
74024;723,475,54,67,
74025;721,473,53,68,
74026;718,471,54,69,
74027;717,469,54,69,
74028;714,468,54,68,
74029;710,463,57,73,
74030;709,462,55,73,
74031;708,459,56,73,
74032;707,459,56,71,
74033;702,456,57,74,
74034;699,453,59,75,
74035;695,452,59,74,
74036;691,448,61,75,
74037;691,446,59,75,
74038;687,443,61,77,
74039;685,439,60,79,
74040;681,438,63,79,
74041;678,435,64,79,
74042;674,431,65,79,
74043;671,428,64,83,
74044;669,429,66,77,
74045;663,421,67,86,
74046;658,418,70,85,
74047;655,416,70,86,
74048;653,410,69,90,
74049;649,408,69,89,
74050;644,405,71,89,
74051;639,399,74,93,
74052;635,395,75,95,
74053;630,391,78,97,
74054;626,389,78,96,
74055;621,382,78,99,
74056;616,377,77,102,
74057;612,373,78,104,
74058;607,368,80,105,
74059;599,362,84,108,
74060;595,358,83,108,
74061;588,349,86,115,
74062;573,341,98,129,
74063;576,339,87,116,
74064;562,329,92,128,
74065;560,323,95,129,
74066;554,320,98,122,
74067;545,314,101,121,
74068;537,310,104,119,
74069;529,299,103,130,
74070;521,289,104,134,
74071;508,281,110,135,
74072;500,271,110,140,
74073;488,261,113,145,
74074;482,255,111,142,
74075;467,245,120,146,
74076;457,234,121,148,
74077;446,222,127,154,
74078;429,209,129,159,
74079;418,195,130,167,
74080;402,184,135,170,
74081;384,169,141,175,
74082;375,156,137,175,
74083;352,140,154,185,
74084;336,123,154,190,
74085;315,102,157,204,
74086;290,86,168,202,
74087;273,59,166,222,
74088;248,41,177,225,
74089;219,16,186,233,
74090;168,1,193,233,
