73720;887,612,13,15,
73721;887,612,13,16,
73722;887,612,13,16,
73723;887,612,12,16,
73725;886,612,13,15,
73726;887,612,12,15,
73728;886,612,13,15,
73730;887,612,12,15,
73731;887,612,12,15,
73732;886,612,13,15,
73733;886,612,12,15,
73735;885,612,13,15,
73736;886,612,12,15,
73737;886,612,12,16,
73738;886,611,12,16,
73740;886,611,12,16,
73741;885,611,13,16,
73742;885,611,13,16,
73743;885,611,13,16,
73745;884,611,12,15,
73746;884,611,13,16,
73747;884,611,13,16,
73748;884,611,13,15,
73750;884,610,13,16,
73751;883,611,13,15,
73752;883,611,13,15,
73753;883,610,13,16,
73755;883,610,13,16,
73756;882,610,13,15,
73757;882,610,14,16,
73758;882,610,14,16,
73760;880,609,15,17,
73761;881,609,14,17,
73762;882,609,13,16,
73763;881,609,14,17,
73765;881,609,13,16,
73766;880,609,14,17,
73767;881,609,12,17,
73768;880,609,13,16,
73770;881,608,12,17,
73771;881,609,12,16,
73772;879,608,13,18,
73773;879,608,14,17,
73775;880,608,13,17,
73776;879,608,13,17,
73777;879,608,13,16,
73778;879,607,13,18,
73780;879,608,12,17,
73781;879,606,12,18,
73782;877,607,14,17,
73783;878,607,13,17,
73785;878,606,13,18,
73786;877,607,14,17,
73787;877,606,13,18,
73788;877,606,14,18,
73790;877,606,13,18,
73791;877,606,13,18,
73792;876,606,14,17,
73793;875,607,14,16,
73795;876,606,14,18,
73796;875,605,14,18,
73797;875,605,14,18,
73798;875,604,14,20,
73800;874,605,14,18,
73801;875,604,14,19,
73802;874,604,14,18,
73803;873,604,15,19,
73805;873,604,14,18,
73806;873,604,14,18,
73807;873,604,14,18,
73808;872,603,15,19,
73809;873,603,14,19,
73810;871,603,16,20,
73811;871,603,15,19,
73812;872,603,15,18,
73813;871,602,15,20,
73814;871,602,15,19,
73815;872,602,13,19,
73816;870,602,16,19,
73817;870,602,15,19,
73818;870,602,15,19,
73819;870,602,15,18,
73820;869,601,15,20,
73821;869,601,15,20,
73822;869,601,15,19,
73823;869,601,15,19,
73824;869,601,14,19,
73825;869,601,14,19,
73826;869,601,15,19,
73827;868,601,16,19,
73828;868,600,15,20,
73829;868,600,15,20,
73830;867,600,15,20,
73831;868,600,15,20,
73832;866,600,16,20,
73833;867,600,15,20,
73834;866,599,16,21,
73835;867,599,15,21,
73836;866,598,16,21,
73837;866,599,15,20,
73838;866,598,15,21,
73839;865,598,16,21,
73840;864,598,17,20,
73841;865,597,16,22,
73842;864,598,16,21,
73843;864,597,16,22,
73844;864,597,16,22,
73845;863,597,16,20,
73846;863,596,16,22,
73847;863,596,16,21,
73848;863,596,16,22,
73849;862,596,17,22,
73850;862,595,17,23,
73851;861,595,17,23,
73852;861,595,17,22,
73853;861,596,16,21,
73854;861,595,17,22,
73855;861,595,17,22,
73856;860,594,17,23,
73857;860,594,17,23,
73858;860,594,17,22,
73859;859,594,18,22,
73860;859,593,18,23,
73861;859,593,17,23,
73863;858,592,17,24,
73864;858,593,17,23,
73865;857,592,18,24,
73866;858,592,16,23,
73867;857,592,17,23,
73868;857,592,16,23,
73869;856,592,17,23,
73870;856,591,17,24,
73871;856,591,18,24,
73872;855,591,18,24,
73873;855,591,17,23,
73874;854,590,18,24,
73875;855,590,17,24,
73876;854,590,18,24,
73877;854,590,17,24,
73878;853,588,18,25,
73879;854,589,17,24,
73880;853,588,18,24,
73881;853,588,17,24,
73882;852,587,18,25,
73883;851,587,19,24,
73884;852,587,18,24,
73885;851,587,18,24,
73886;850,587,19,24,
73887;849,586,20,25,
73888;850,586,19,25,
73889;849,586,20,24,
73890;849,585,19,25,
73891;849,585,19,25,
73892;848,584,20,26,
73893;848,584,19,25,
73894;847,584,20,26,
73895;847,584,19,25,
73896;847,583,19,27,
73897;846,583,20,26,
73898;845,583,21,26,
73899;845,582,21,26,
73900;845,582,20,26,
73901;845,582,20,26,
73902;844,581,20,27,
73903;844,581,20,26,
73904;843,580,21,27,
73905;843,580,20,27,
73906;843,579,20,28,
73907;842,579,21,27,
73908;842,579,20,28,
73909;841,578,21,28,
73910;840,578,21,28,
73911;840,578,21,28,
73912;840,576,21,30,
73913;839,577,21,29,
73914;838,577,22,28,
73915;838,575,22,30,
73916;838,575,21,29,
73917;838,575,21,29,
73918;838,575,21,29,
73919;836,573,22,31,
73920;836,574,22,29,
73921;835,573,22,30,
73922;835,573,22,30,
73923;834,573,23,29,
73924;834,571,22,31,
73925;833,572,23,30,
73926;832,571,24,30,
73927;832,570,23,31,
73928;832,570,23,31,
73929;831,569,23,32,
73930;830,569,23,31,
73931;830,569,23,30,
73932;830,568,23,32,
73933;829,568,23,31,
73934;828,567,24,32,
73935;827,568,24,31,
73936;826,566,26,32,
73937;826,566,25,32,
73938;827,565,23,33,
73939;826,565,24,33,
73940;825,564,24,33,
73941;824,563,24,34,
73942;823,563,25,33,
73943;823,562,25,34,
73944;823,562,24,34,
73945;821,561,26,35,
73946;821,561,25,33,
73947;820,561,26,33,
73948;820,560,25,33,
73949;819,560,26,34,
73950;817,559,27,35,
73951;818,558,26,35,
73952;817,559,26,34,
73953;816,558,27,33,
73954;815,557,27,34,
73955;815,557,26,32,
73956;814,555,27,35,
73957;814,555,26,34,
73958;812,554,27,35,
73959;811,553,29,35,
73960;810,553,29,36,
73961;811,552,26,34,
73962;808,551,29,37,
73963;808,551,29,36,
73964;808,549,28,38,
73965;807,548,29,38,
73966;806,549,28,37,
73967;806,548,28,38,
73968;805,546,29,39,
73969;803,546,29,38,
73971;802,545,29,38,
73972;801,543,29,39,
73973;801,544,28,39,
73974;799,542,29,40,
73975;797,541,31,40,
73976;797,540,31,40,
73977;797,541,32,40,
73978;795,538,32,41,
73979;793,538,31,40,
73980;793,537,31,42,
73981;793,536,31,42,
73982;791,535,32,42,
73983;791,534,31,43,
73984;789,534,33,42,
73985;788,532,33,43,
73986;787,532,34,42,
73987;786,529,33,45,
73988;785,529,33,44,
73989;785,528,32,45,
73990;783,527,33,45,
73991;781,525,34,46,
73992;780,525,35,44,
73993;778,524,36,45,
73994;777,522,36,47,
73995;776,521,36,48,
73996;775,521,35,46,
73997;773,519,37,46,
73998;772,518,36,48,
73999;771,518,36,47,
74000;769,515,38,50,
74001;767,515,39,48,
74002;766,512,39,51,
74003;765,511,39,52,
74004;763,510,39,51,
74005;762,509,39,51,
74006;761,508,40,51,
74007;758,506,42,53,
74008;757,505,41,53,
74009;757,503,40,54,
74010;754,503,41,53,
74011;753,501,41,53,
74012;750,499,43,54,
74013;750,498,42,56,
74014;747,495,45,57,
74015;745,494,44,58,
74016;743,492,44,58,
74017;742,492,42,57,
74018;740,488,46,60,
74019;737,487,46,59,
74020;734,485,47,60,
74021;733,483,47,60,
74022;731,481,47,62,
74023;729,480,48,61,
74024;727,478,48,60,
74025;725,476,49,63,
74026;723,474,49,64,
74027;720,472,50,64,
74028;717,471,51,64,
74029;714,468,52,65,
74030;713,465,51,67,
74031;710,462,52,69,
74032;707,460,54,70,
74033;704,458,54,69,
74034;701,455,55,71,
74035;700,453,54,70,
74036;696,450,55,72,
74037;693,447,56,73,
74038;689,444,57,75,
74039;687,441,58,76,
74040;684,438,58,77,
74041;680,436,59,76,
74042;675,431,61,81,
74043;673,429,61,79,
74044;669,426,63,80,
74045;665,421,63,83,
74046;662,418,65,84,
74047;659,415,64,85,
74048;654,412,66,86,
74049;649,408,68,86,
74050;646,402,67,90,
74051;641,398,69,92,
74052;637,395,69,92,
74053;632,391,70,93,
74054;626,386,73,96,
74055;622,381,73,96,
74056;616,375,75,100,
74057;611,371,76,100,
74058;607,366,76,101,
74059;599,360,80,104,
74060;593,355,80,106,
74061;587,349,82,108,
74062;580,344,84,109,
74063;573,337,86,112,
74064;567,330,87,115,
74065;559,324,90,117,
74066;552,317,90,119,
74067;543,309,93,122,
74068;535,301,95,124,
74069;526,294,97,126,
74070;517,284,100,130,
74071;507,276,102,132,
74072;497,266,105,136,
74073;485,257,109,139,
74074;474,246,111,144,
74075;463,234,114,148,
74076;451,223,117,152,
74077;438,213,120,153,
74078;424,199,123,159,
74079;409,186,127,164,
74080;394,174,129,166,
74081;377,160,135,171,
74082;360,142,139,177,
74083;341,124,144,184,
74084;320,108,149,189,
74085;298,89,157,193,
74086;277,68,159,201,
74087;253,47,166,208,
