73721;883,605,15,19,
73722;883,605,15,19,
73723;881,605,15,19,
73724;880,605,16,18,
73725;880,605,16,19,
73726;881,605,15,18,
73727;881,605,15,19,
73728;882,606,15,18,
73729;879,605,17,16,
73730;880,605,16,19,
73731;880,605,15,19,
73732;879,606,16,18,
73733;880,607,16,17,
73734;880,606,15,18,
73735;879,606,16,16,
73736;880,606,15,19,
73737;879,605,16,19,
73738;879,605,16,16,
73739;879,606,16,16,
73740;879,606,15,18,
73741;879,606,16,18,
73742;879,606,16,18,
73743;879,605,15,18,
73744;879,605,15,18,
73745;879,605,14,18,
73746;879,606,15,17,
73747;879,607,15,16,
73748;879,607,15,18,
73749;879,605,15,20,
73750;879,606,16,19,
73751;879,607,16,18,
73752;879,605,15,20,
73753;878,605,15,19,
73754;880,606,15,19,
73755;879,607,15,18,
73756;879,606,15,19,
73757;879,605,15,20,
73758;878,605,15,20,
73759;876,603,15,21,
73760;876,603,15,21,
73761;875,601,17,24,
73762;875,601,17,23,
73763;876,602,15,19,
73764;875,603,13,19,
73765;875,604,15,18,
73766;876,603,16,22,
73767;874,605,17,19,
73768;875,605,16,19,
73769;874,605,17,18,
73770;873,604,17,18,
73771;874,604,17,20,
73772;874,604,18,20,
73773;875,604,17,20,
73774;875,604,16,20,
73775;875,605,17,19,
73776;875,603,16,20,
73777;874,603,17,21,
73778;874,604,17,20,
73779;874,604,16,20,
73780;873,604,17,19,
73781;873,604,17,19,
73782;874,604,17,19,
73783;872,604,17,19,
73784;872,604,17,19,
73785;874,607,16,16,
73786;873,604,17,19,
73787;872,607,16,16,
73788;872,605,16,18,
73789;874,604,16,19,
73790;873,604,17,19,
73791;871,606,16,17,
73792;871,605,16,17,
73793;870,605,16,17,
73794;869,605,13,17,
73795;869,604,16,18,
73796;868,604,13,18,
73797;868,603,16,19,
73798;868,604,13,18,
73799;869,604,15,16,
73800;868,604,16,16,
73801;867,604,13,16,
73802;867,603,14,18,
73803;865,604,16,17,
73804;865,603,15,19,
73805;866,603,16,18,
73806;867,603,16,18,
73807;867,602,15,19,
73808;867,602,13,18,
73809;867,602,13,16,
73810;867,601,16,20,
