332450;791,601,9,13,;[0.93682873],
332451;791,600,9,14,;[0.9445607],
332452;791,602,9,13,;[0.9056865],
332453;790,602,10,13,;[0.89212507],
332454;791,602,9,13,;[0.9467389],
332455;791,602,9,13,;[0.9505424],
332456;789,602,10,13,;[0.96264946],
332457;791,602,9,13,;[0.95647395],
332458;790,601,10,13,;[0.94364387],
332459;790,601,10,13,;[0.9344401],
332460;790,600,10,14,;[0.93916893],
332461;790,600,10,14,;[0.9521881],
332462;790,600,10,15,;[0.9191406],
332463;790,600,10,14,;[0.94626695],
332464;791,600,9,14,;[0.95307],
332465;791,600,9,14,;[0.9457065],
332466;790,600,10,14,;[0.9021676],
332467;791,600,9,14,;[0.92466617],
332468;791,600,9,14,;[0.9338949],
332469;791,600,9,15,;[0.94952613],
332470;792,600,9,13,;[0.9603844],
332471;791,600,9,13,;[0.96076596],
332472;791,599,10,14,;[0.97066295],
332473;790,599,10,15,;[0.965506],
332474;790,599,10,14,;[0.96171606],
332475;790,599,10,14,;[0.9703129],
332476;790,599,10,14,;[0.96690154],
332477;790,599,10,14,;[0.96233225],
332478;792,599,9,14,;[0.95513666],
332479;791,599,9,14,;[0.9584643],
332480;791,599,10,14,;[0.96284926],
332481;791,598,10,14,;[0.958441],
332482;790,598,10,15,;[0.97542745],
332483;790,598,10,14,;[0.97520787],
332484;790,599,10,14,;[0.9769184],
332485;790,599,10,14,;[0.9775501],
332486;791,599,9,14,;[0.96971804],
332487;790,599,10,14,;[0.9686116],
332488;790,599,10,15,;[0.97013104],
332489;790,599,10,15,;[0.9744277],
332490;790,599,10,14,;[0.9740784],
332491;790,599,10,14,;[0.9773682],
332492;790,599,10,14,;[0.9721002],
332493;790,599,10,14,;[0.97522384],
332494;791,600,9,13,;[0.9668783],
332495;791,600,9,13,;[0.9550188],
332496;791,600,9,13,;[0.9787095],
332497;791,600,9,13,;[0.9770532],
332498;790,600,10,13,;[0.9805218],
332499;790,600,10,13,;[0.9794376],
332500;790,600,10,13,;[0.97544086],
332501;790,599,10,14,;[0.9770347],
332502;790,598,10,14,;[0.976838],
332503;790,598,10,14,;[0.9723418],
332504;790,599,10,14,;[0.9792733],
332505;790,599,10,14,;[0.9803813],
332506;790,599,9,13,;[0.9680518],
332507;790,600,9,13,;[0.9588845],
332508;790,600,10,13,;[0.97369605],
332509;790,599,10,14,;[0.9763019],
332510;789,600,10,13,;[0.9643998],
332511;789,600,10,13,;[0.95930886],
332512;789,599,11,14,;[0.97392815],
332513;790,600,10,13,;[0.9767019],
332514;789,600,10,13,;[0.95415914],
332515;789,600,10,13,;[0.9531918],
332516;789,600,10,13,;[0.9711915],
332517;789,600,10,13,;[0.9735794],
332518;789,599,10,14,;[0.95887744],
332519;789,599,10,14,;[0.9615209],
332520;790,600,9,12,;[0.96079993],
332521;790,600,9,13,;[0.9482088],
332522;789,600,10,13,;[0.9567797],
332523;789,600,10,13,;[0.95615494],
332524;790,599,9,12,;[0.9675641],
332525;790,599,9,12,;[0.95892054],
332526;791,600,9,12,;[0.89883834],
332528;790,600,9,13,;[0.8972057],
332529;790,600,9,13,;[0.9203894],
332530;790,600,9,12,;[0.9261949],
332531;790,600,9,12,;[0.9575106],
332532;791,599,9,13,;[0.9324104],
332533;791,600,9,13,;[0.9007243],
332534;790,599,9,14,;[0.83536184],
332536;790,599,9,14,;[0.8864993],
332537;790,599,9,13,;[0.95388806],
332538;791,599,9,13,;[0.89418685],
332539;790,598,8,13,;[0.90799993],
332540;790,599,8,13,;[0.9412181],
332541;790,599,8,13,;[0.952181],
332542;790,599,9,13,;[0.9423081],
332543;790,599,8,13,;[0.9078504],
332544;790,598,8,13,;[0.9501599],
332545;790,599,9,13,;[0.9496324],
332546;790,598,9,12,;[0.9254879],
332547;790,598,9,12,;[0.9349102],
332548;791,599,9,12,;[0.9413609],
332549;790,599,9,13,;[0.9441583],
332550;790,599,9,13,;[0.9585792],
332551;790,598,9,12,;[0.903414],
332552;790,599,8,13,;[0.94446033],
332553;790,599,9,12,;[0.9664705],
332554;790,599,9,13,;[0.94542605],
332555;790,599,8,12,;[0.9633456],
332556;791,599,9,12,;[0.9212185],
332557;790,600,8,12,;[0.9306291],
332558;791,599,9,13,;[0.9441958],
